Query_Index,Execution_Time_CRAWD,CRAWD,GT,re,Triple_Count
query_545,7.671,37280216,37280216,0.0,2
query_255,7.617,36389140,36333175,0.15403278133551498,2
query_520,11.83,34688438,34696192,-0.022348273839388484,2
query_633,11.65,31942158,31941664,0.0015465693960089245,2
query_256,9.465,29953551,29954929,-0.004600244587460047,3
query_352,3.264,14153306,13718466,3.1697421563023154,2
query_349,5.145,13216703,13210064,0.050257137285633136,2
query_547,11.257,9725485,9735877,-0.10673922852558636,2
query_548,10.092,9704800,9698500,0.06495849873691809,2
query_629,4.781,9181487,9181487,0.0,2
query_351,6.916,8371089,8366814,0.051094717774292586,2
query_632,5.064,8218128,8202151,0.19479036657579213,2
query_469,4.494,7305401,7304929,0.006461390658280183,2
query_150,4.788,6463586,6465182,-0.02468607998970485,2
query_147,5.718,6462452,6446811,0.24261607793372567,2
query_151,5.893,6433388,6443894,-0.1630380636304694,3
query_595,6.198,5107753,5109648,-0.03708670342849449,2
query_145,5.586,4963823,4969877,-0.12181387990085066,3
query_466,7.004,4021341,4004725,0.41490988769516013,3
query_513,5.012,3786365,3780495,0.15527067222678512,2
query_512,4.508,3785608,3780495,0.13524683936891863,4
query_391,4.465,3644416,3648766,-0.11921838780563072,2
query_146,4.368,3281762,3286102,-0.13207137209983133,2
query_599,5.26,3207922,3208980,-0.03296997799923963,2
query_299,5.595,3083784,3083733,0.001653839680672743,2
query_439,4.657,2759599,2760849,-0.04527592780336773,2
query_435,5.093,2759425,2756957,0.08951898778254432,3
query_14,6.168,2524827,2524801,0.001029784129521495,2
query_144,4.529,2522820,2521439,0.054770311714858064,3
query_597,5.373,2514016,2511719,0.09145131282599686,2
query_667,4.285,2481049,2486149,-0.20513653847778232,2
query_601,4.91,2477698,2477424,0.011059875096067527,3
query_600,5.38,2474054,2477424,-0.13602839078010062,5
query_468,4.783,2346878,2353252,-0.2708592194971044,4
query_662,4.555,2342429,2339954,0.10577131003429983,2
query_596,5.475,2338932,2336550,0.10194517557937986,3
query_631,5.33,2204034,2206741,-0.12266958378894487,2
query_143,5.126,2097931,2086367,0.5542649016208558,5
query_148,5.157,2071614,2064249,0.35678835256793145,4
query_613,5.574,1924240,1916632,0.39694630998543273,2
query_455,6.251,1717034,1717142,-0.006289520610409622,2
query_395,4.219,1616040,1614916,0.06960114334120165,2
query_514,4.988,1608299,1606922,0.08569177595427781,4
query_598,5.693,1380563,1387786,-0.5204692942571838,2
query_447,5.258,1281671,1281520,0.011782882826643361,2
query_434,5.321,1237141,1244375,-0.5813360120542441,4
query_456,5.545,1074965,1076107,-0.10612327584524586,2
query_424,4.794,991473,990549,0.09328160444359643,5
query_396,6.616,954923,952232,0.2825991985146477,4
query_385,4.829,945489,952232,-0.7081257508674357,2
query_394,4.249,910566,915327,-0.5201419820457607,2
query_386,5.557,908479,912735,-0.4662908730354375,3
query_425,5.228,874925,874120,0.09209261886239876,6
query_494,5.791,604083,603430,0.1082147059310939,2
query_355,4.018,544085,545722,-0.29996958158183107,3
query_289,4.923,507500,512028,-0.8843266383869632,2
query_288,4.565,506682,512028,-1.0440835266821344,4
query_505,5.443,448672,448876,-0.045446849463994514,2
query_168,3.466,415831,435402,-4.494926527668683,4
query_122,4.784,394531,393384,0.29157261098570353,3
query_593,5.201,380686,382447,-0.4604559586034143,2
query_464,5.382,352024,352787,-0.21627781069030322,2
query_465,5.655,349479,349696,-0.062053898243045386,3
query_379,5.56,337160,336688,0.14018913652996245,2
query_126,5.006,326317,326891,-0.1755936994288616,3
query_135,5.777,320716,320726,-0.003117926204922582,2
query_136,5.487,301441,301570,-0.042776138210034155,3
query_138,3.467,294930,279051,5.690357676553749,4
query_76,5.383,283991,284037,-0.016195073177086086,2
query_140,5.118,275527,275458,0.02504919080222756,3
query_499,5.633,270213,270194,0.007031984426005019,2
query_501,5.875,256341,256311,0.011704530823881926,2
query_431,5.188,244904,245189,-0.11623686217570935,4
query_603,5.008,242763,243085,-0.13246395293827262,2
query_528,5.03,241936,242305,-0.15228740636800728,2
query_137,4.311,237828,223432,6.443123634931433,4
query_527,5.018,237767,237823,-0.0235469235523898,2
query_533,4.262,219130,216182,1.3636658001128679,3
query_530,4.873,203626,203358,0.1317872913777673,2
query_525,5.14,184705,184011,0.37715136595094856,2
query_283,4.805,150749,150022,0.4845955926464119,2
query_77,6.319,146685,146859,-0.11848099197189141,4
query_343,4.377,146261,146188,0.04993569923659945,3
query_15,4.755,133622,133536,0.06440210879463217,3
query_504,6.13,128780,128744,0.027962468153855717,2
query_423,4.586,116501,116493,0.006867365421098264,3
query_20,4.873,110672,110506,0.15021808770564496,3
query_531,4.839,99984,100281,-0.2961677685703174,2
query_451,7.325,86044,85597,0.5222145635945185,5
query_74,4.941,63129,63067,0.0983081484770165,3
query_282,5.311,59015,59005,0.016947716295229218,4
query_156,4.646,53440,54313,-1.6073499898735109,3
query_339,4.424,51407,51224,0.35725441199437763,2
query_238,5.141,48086,47985,0.210482442429926,2
query_13,5.672,46861,46995,-0.28513671667198637,3
query_212,4.225,44817,44630,0.41900067219359177,4
query_579,5.052,35082,34907,0.5013321110379008,2
query_568,4.176,23552,23408,0.6151742993848257,2
query_502,5.495,21641,21638,0.0138644976430354,2
query_407,3.792,17494,16801,4.124754478900066,2
query_29,5.142,17248,17226,0.1277139208173691,3
query_450,5.076,15821,15836,-0.09472088911341248,3
query_12,5.424,15100,15089,0.07290078865398635,2
query_253,4.021,13411,17133,-21.724158057549758,3
query_344,4.745,13151,13131,0.1523113243469652,2
query_326,4.916,12165,12026,1.1558290370863131,2
query_560,4.22,10023,10004,0.18992403038784486,2
query_102,4.565,9818,9775,0.43989769820971864,4
query_630,4.31,8935,8938,-0.03356455582904453,2
query_345,4.667,8622,8606,0.18591680223100163,2
query_10,5.143,8076,8080,-0.04950495049504951,2
query_356,3.392,7793,8495,-8.263684520306063,3
query_354,3.482,7435,13043,-42.99624319558384,3
query_476,4.532,7210,7211,-0.013867702121758425,2
query_186,4.875,7148,7123,0.35097571248069637,3
query_164,5.019,6963,6963,0.0,3
query_353,1.832,6382,5196,22.825250192455734,3
query_626,4.702,5914,5922,-0.13508949679162446,2
query_336,5.83,5599,5683,-1.4780925567481964,2
query_210,7.909,5312,5377,-1.2088525199925608,5
query_130,4.521,5223,5237,-0.2673286232575902,3
query_348,3.871,4711,4723,-0.2540757992801186,2
query_170,4.442,4436,4432,0.09025270758122744,2
query_166,4.268,4369,4355,0.3214695752009185,4
query_23,7.462,3481,3378,3.049141503848431,4
query_318,5.348,3371,3402,-0.9112286890064668,2
query_167,4.051,3220,3810,-15.485564304461944,4
query_367,3.808,2847,3857,-26.18615504277936,2
query_110,3.604,2387,2427,-1.6481252575195715,2
query_622,3.469,2153,2166,-0.6001846722068329,2
query_588,5.075,2120,2120,0.0,2
query_486,4.151,2102,2107,-0.23730422401518747,5
query_584,6.198,2088,2100,-0.5714285714285714,2
query_264,3.524,1953,1959,-0.3062787136294028,2
query_295,5.044,1793,1791,0.11166945840312675,2
query_300,3.233,1632,1648,-0.9708737864077669,2
query_578,4.181,1177,1183,-0.5071851225697379,2
query_526,4.071,1097,1105,-0.7239819004524887,2
query_294,4.537,903,904,-0.11061946902654868,4
query_99,4.76,863,862,0.11600928074245939,2
query_477,4.281,851,851,0.0,2
query_134,3.906,815,820,-0.6097560975609756,3
query_457,3.502,762,762,0.0,2
query_228,4.05,717,714,0.42016806722689076,2
query_555,4.329,704,707,-0.4243281471004243,2
query_515,4.596,692,726,-4.683195592286501,3
query_334,5.043,668,665,0.4511278195488722,2
query_478,4.138,665,667,-0.29985007496251875,3
query_61,3.923,626,621,0.8051529790660225,3
query_679,10.969,484,219,121.00456621004567,2
query_324,4.938,427,430,-0.6976744186046512,2
query_634,3.471,402,424,-5.188679245283019,2
query_627,5.109,400,400,0.0,2
query_328,3.095,396,392,1.0204081632653061,3
query_305,4.559,355,355,0.0,2
query_427,3.072,334,337,-0.8902077151335311,3
query_169,3.435,321,322,-0.3105590062111801,5
query_587,4.809,258,258,0.0,2
query_52,3.253,257,256,0.390625,3
query_224,4.224,207,208,-0.4807692307692308,5
query_573,4.075,196,196,0.0,2
query_286,4.094,182,182,0.0,3
query_619,4.376,180,181,-0.5524861878453038,2
query_567,3.803,179,180,-0.5555555555555556,2
query_393,4.217,176,177,-0.5649717514124294,2
query_519,3.834,175,175,0.0,3
query_42,2.953,161,163,-1.2269938650306749,3
query_314,3.643,159,159,0.0,2
query_506,4.122,156,155,0.6451612903225806,2
query_316,2.591,151,155,-2.5806451612903225,4
query_524,4.383,150,150,0.0,2
query_3,3.236,149,148,0.6756756756756757,2
query_656,4.918,126,128,-1.5625,2
query_308,2.58,124,124,0.0,2
query_376,2.856,121,121,0.0,5
query_165,4.103,119,120,-0.8333333333333334,3
query_323,4.591,111,112,-0.8928571428571428,2
query_119,4.186,105,106,-0.9433962264150944,3
query_216,3.624,105,98,7.142857142857142,4
query_673,4.74,104,101,2.9702970297029703,3
query_559,4.613,100,100,0.0,2
query_182,3.776,97,98,-1.0204081632653061,2
query_470,4.102,95,95,0.0,2
query_676,4.044,85,87,-2.2988505747126435,2
query_458,2.498,84,84,0.0,2
query_558,2.464,79,79,0.0,2
query_11,4.524,78,79,-1.2658227848101267,2
query_350,4.053,74,75,-1.3333333333333335,2
query_485,4.61,67,67,0.0,2
query_162,4.63,63,64,-1.5625,2
query_208,4.433,59,60,-1.6666666666666667,2
query_589,4.296,58,59,-1.694915254237288,2
query_382,4.25,57,57,0.0,3
query_628,3.36,50,50,0.0,2
query_572,3.554,46,46,0.0,2
query_677,3.542,46,45,2.2222222222222223,3
query_666,2.653,43,44,-2.272727272727273,2
query_551,3.941,39,40,-2.5,2
query_380,3.269,38,38,0.0,2
query_529,4.517,33,33,0.0,2
query_202,2.899,27,28,-3.571428571428571,3
query_280,3.518,26,118,-77.96610169491525,3
query_298,3.719,25,25,0.0,2
query_373,2.87,22,23,-4.3478260869565215,4
query_319,3.263,20,21,-4.761904761904762,2
query_473,6.79,15,22,-31.818181818181817,2
query_302,2.807,13,13,0.0,2
query_474,4.222,7,7,0.0,2
query_357,2.941,6,1205,-99.50207468879668,3
query_552,5.814,6,7,-14.285714285714285,2
query_680,3.434,5,5,0.0,2
query_674,3.253,5,6,-16.666666666666664,2
query_195,2.887,5,5,0.0,3
query_564,1.976,3,3,0.0,2
query_199,3.561,2,3,-33.33333333333333,2
query_536,2.355,2,2,0.0,2
query_590,3.116,2,3,-33.33333333333333,2
query_484,3.4,2,2,0.0,2
query_638,3.278,1,1,0.0,4
query_658,4.284,1,1,0.0,2
query_491,2.465,0,0,,2
query_496,2.541,0,18,-100.0,9
query_523,2.652,0,0,,2
query_550,600.206,0,0,,2
query_480,600.191,0,0,,2
query_287,600.204,0,0,,2
query_276,600.197,0,0,,2
query_105,1.812,0,1,-100.0,4
query_92,2.716,0,1,-100.0,4
query_17,5.914,0,64,-100.0,6
query_646,1.828,0,8,-100.0,4
query_438,600.2,0,0,,3
query_637,18.666,0,407,-100.0,4
query_131,113.953,0,0,,3
query_577,600.215,0,0,,2
query_204,2.718,0,0,,2
query_371,2.487,0,2,-100.0,4
query_582,3.157,0,0,,2
query_347,5.533,0,1,-100.0,5
query_592,2.513,0,0,,2
query_360,7.908,0,10,-100.0,6
query_358,4.787,0,93,-100.0,6
query_346,5.068,0,50,-100.0,5
