Query_Index,Execution_Time,CRAWD_config1,Triple_Count
query_545,6.626,37280216,2
query_255,6.327,36589841,2
query_520,8.812,34644358,2
query_633,10.215,31935717,2
query_256,9.165,30006811,3
query_349,5.176,13256254,2
query_352,4.542,12877474,2
query_548,9.312,9857407,2
query_547,10.027,9614238,2
query_629,5.466,9181486,2
query_351,7.445,8330625,2
query_632,8.282,8190087,2
query_469,6.248,7306278,2
query_150,5.611,6459729,2
query_151,6.649,6448350,3
query_147,6.291,6378480,2
query_595,8.063,5106022,2
query_145,8.461,5051533,3
query_466,8.564,4004720,3
query_512,5.871,3795118,4
query_513,5.668,3794710,2
query_391,4.942,3643149,2
query_146,5.585,3263217,2
query_599,5.338,3188864,2
query_299,8.069,3084432,2
query_439,5.138,2768589,2
query_435,5.649,2747847,3
query_144,5.091,2533199,3
query_14,7.728,2524827,2
query_597,5.376,2514777,2
query_601,5.908,2487939,3
query_667,5.286,2463259,2
query_600,5.809,2454592,5
query_662,5.287,2345784,2
query_596,5.823,2342393,3
query_468,5.878,2312304,4
query_631,7.56,2206291,2
query_143,6.606,2085833,5
query_148,5.978,2067712,4
query_613,9.046,1951555,2
query_455,7.415,1719762,2
query_395,5.579,1647221,2
query_514,5.937,1614111,4
query_598,12.324,1396271,2
query_447,7.2,1275115,2
query_434,6.618,1256626,4
query_456,6.981,1076408,2
query_424,6.071,999920,5
query_385,6.632,949657,2
query_396,8.976,928638,4
query_394,5.58,925638,2
query_386,7.343,908278,3
query_425,5.91,865510,6
query_494,8.109,609738,2
query_355,6.008,574046,3
query_168,6.462,510719,4
query_289,5.434,510475,2
query_288,6.355,509634,4
query_505,5.49,449065,2
query_122,5.54,392847,3
query_593,8.044,383529,2
query_464,5.623,352152,2
query_465,6.063,348710,3
query_379,7.808,342313,2
query_135,5.588,320662,2
query_126,5.487,319722,3
query_136,5.8,302103,3
query_76,5.589,283728,2
query_140,5.815,275482,3
query_138,6.614,271351,4
query_499,5.569,270291,2
query_501,5.753,256078,2
query_431,5.826,248459,4
query_528,5.607,242489,2
query_603,6.495,239765,2
query_527,5.456,236872,2
query_137,6.981,228190,4
query_533,5.966,218366,3
query_530,5.397,205768,2
query_525,5.689,184313,2
query_283,5.447,150408,2
query_77,5.931,148423,4
query_343,5.288,145613,3
query_15,5.822,133526,3
query_504,5.618,128582,2
query_423,6.016,116492,3
query_20,5.698,110528,3
query_531,5.675,99250,2
query_451,6.62,88313,5
query_74,6.335,62957,3
query_282,6.34,59078,4
query_156,5.768,53524,3
query_339,5.568,51323,2
query_238,5.334,46546,2
query_13,5.643,46515,3
query_212,6.42,45428,4
query_579,5.813,34104,2
query_568,4.941,23784,2
query_502,5.481,21651,2
query_407,7.033,17417,2
query_29,6.393,17117,3
query_450,5.756,15596,3
query_12,5.541,15166,2
query_344,5.469,13170,2
query_326,6.316,12329,2
query_353,4.747,12168,3
query_354,7.108,10806,3
query_356,7.295,10629,3
query_560,5.485,10165,2
query_102,6.334,9637,4
query_630,5.66,8899,2
query_345,5.389,8548,2
query_10,5.518,8064,2
query_476,5.452,7394,2
query_253,6.573,7377,3
query_186,5.734,7156,3
query_164,5.466,6954,3
query_626,5.274,5835,2
query_336,5.676,5747,2
query_210,7.608,5405,5
query_130,6.198,5170,3
query_348,5.115,4746,2
query_170,5.411,4408,2
query_166,5.882,4359,4
query_367,5.455,3938,2
query_23,7.205,3385,4
query_318,5.695,3343,2
query_167,8.621,2455,4
query_110,6.293,2354,2
query_622,5.656,2169,2
query_588,5.281,2120,2
query_584,5.122,2044,2
query_486,6.48,2033,5
query_264,5.177,1979,2
query_295,4.98,1777,2
query_300,6.515,1678,2
query_578,5.845,1172,2
query_526,5.379,1122,2
query_294,5.875,911,4
query_99,5.385,860,2
query_477,4.982,851,2
query_134,5.86,821,3
query_457,5.879,753,2
query_555,5.362,709,2
query_228,5.685,703,2
query_334,5.096,689,2
query_478,5.495,668,3
query_515,7.651,653,3
query_61,5.988,640,3
query_679,30.003,442,2
query_324,7.573,407,2
query_328,6.866,405,3
query_634,5.308,401,2
query_627,5.409,400,2
query_305,4.679,355,2
query_427,6.392,331,3
query_169,4.989,326,5
query_587,4.906,258,2
query_52,5.889,254,3
query_224,5.973,205,5
query_573,3.678,195,2
query_286,4.419,182,3
query_619,3.598,181,2
query_567,5.311,179,2
query_393,5.034,176,2
query_519,3.96,175,3
query_314,5.567,160,2
query_316,5.5,157,4
query_42,6.088,156,3
query_506,5.913,153,2
query_524,4.638,148,2
query_3,5.667,147,2
query_656,12.424,143,2
query_216,7.458,133,4
query_308,6.442,123,2
query_376,5.804,120,5
query_165,6.472,119,3
query_323,5.618,112,2
query_119,6.408,105,3
query_673,7.009,103,3
query_182,5.554,101,2
query_280,4.572,101,3
query_559,4.842,100,2
query_470,4.829,95,2
query_676,5.134,86,2
query_458,5.568,83,2
query_11,5.173,79,2
query_558,5.575,76,2
query_350,5.132,74,2
query_485,5.374,67,2
query_162,5.226,61,2
query_589,5.412,59,2
query_208,5.218,59,2
query_382,5.772,57,3
query_346,8.623,52,5
query_628,3.781,50,2
query_572,5.611,46,2
query_677,7.535,46,3
query_666,5.727,43,2
query_551,5.676,39,2
query_380,4.57,37,2
query_529,5.265,32,2
query_202,5.201,28,3
query_298,4.465,25,2
query_373,5.07,23,4
query_357,5.118,20,3
query_319,4.792,20,2
query_473,25.05,15,2
query_302,5.455,13,2
query_552,5.164,7,2
query_474,4.008,7,2
query_195,5.892,5,3
query_680,4.18,5,2
query_674,4.359,5,2
query_199,5.46,3,2
query_564,4.37,3,2
query_536,3.926,2,2
query_371,4.815,2,4
query_590,4.744,2,2
query_105,5.995,1,4
query_658,4.213,1,2
query_638,4.707,1,4
query_484,3.99,1,2
query_358,4.534,1,6
query_496,4.125,0,9
query_17,9.918,0,6
query_646,5.773,0,4
query_637,7.793,0,4
query_360,8.807,0,6
query_92,5.072,0,4
query_347,8.162,0,5
